#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.58852     1.58852           0
           2     1.59302     1.59077  0.00159306
           3      1.5881     1.58988  0.00128719
           4     1.59235      1.5905  0.00110391
           5     1.59223     1.59085  0.00093565
           6       1.591     1.59087 0.000780073
           7     1.59224     1.59107 0.000692827
           8     1.59364     1.59139 0.000676584
           9     1.59443     1.59173 0.000680637
          10     1.59268     1.59182 0.000619176
          11      1.5938       1.592 0.000588442
          12     1.59407     1.59217 0.000564178
          13     1.59497     1.59239 0.000560177
          14     1.59441     1.59253 0.000538412
          15     1.59543     1.59273 0.000536037
          16      1.5955      1.5929 0.000529792
          17     1.59525     1.59304 0.000516375
          18     1.59606     1.59321 0.000514262
          19     1.59568     1.59334 0.000503389
          20     1.59579     1.59346 0.000492909
          21     1.59595     1.59358 0.000483471
          22      1.5959     1.59368 0.000472888
          23     1.59582     1.59378 0.000461377
          24     1.59588     1.59386 0.000450395
          25     1.59593     1.59395 0.000439879
          26     1.59639     1.59404 0.000432885
          27     1.59583     1.59411 0.000421922
          28     1.59694     1.59421 0.000418835
          29     1.59615     1.59427 0.000409741
          30     1.59638     1.59434  0.00040204
          31     1.59678     1.59442 0.000396682
          32     1.59638     1.59448  0.00038899
          33       1.597     1.59456  0.00038457
          34      1.5965     1.59462 0.000377466
          35     1.59674     1.59468   0.0003715
          36     1.59672     1.59473 0.000365477
          37     1.59718      1.5948 0.000361533
          38     1.59671     1.59485 0.000355476
          39     1.59636     1.59489 0.000348471
          40     1.59695     1.59494 0.000343539
          41     1.59662     1.59498 0.000337601
          42     1.59713     1.59503 0.000333427
          43     1.59666     1.59507 0.000327811
          44     1.59633      1.5951 0.000321606
          45     1.59729     1.59515 0.000318129
          46     1.59646     1.59518 0.000312493
          47     1.59684     1.59521 0.000307832
          48     1.59649     1.59524 0.000302568
          49     1.59666     1.59527 0.000297775
          50     1.59608     1.59528 0.000292259
          51     1.59703     1.59532 0.000288528
          52     1.59617     1.59534 0.000283445
          53     1.59717     1.59537 0.000280208
          54     1.59663     1.59539 0.000275986
          55     1.59679     1.59542 0.000272142
          56     1.59649     1.59544 0.000267953
          57     1.59645     1.59546 0.000263844
          58     1.59643     1.59547 0.000259832
          59     1.59656     1.59549 0.000256079
          60      1.5967     1.59551 0.000252601
          61     1.59662     1.59553 0.000249114
          62     1.59639     1.59554 0.000245484
          63     1.59677     1.59556 0.000242362
          64     1.59655     1.59558 0.000239061
          65     1.59671      1.5956  0.00023602
          66     1.59639     1.59561 0.000232754
          67     1.59634     1.59562  0.00022954
          68      1.5963     1.59563 0.000226385
          69     1.59683     1.59565 0.000223772
          70     1.59674     1.59566 0.000221123
          71     1.59692     1.59568 0.000218715
          72     1.59647     1.59569 0.000215951
          73      1.5965      1.5957 0.000213276
          74      1.5967     1.59571 0.000210823
          75      1.5963     1.59572 0.000208155
          76     1.59666     1.59573 0.000205785
          77     1.59668     1.59575 0.000203476
          78     1.59633     1.59575 0.000201006
          79      1.5968     1.59577 0.000198901
          80     1.59653     1.59578 0.000196645
          81     1.59628     1.59578 0.000194315
          82     1.59644     1.59579 0.000192107
          83     1.59666      1.5958 0.000190079
          84     1.59674     1.59581 0.000188146
          85     1.59651     1.59582  0.00018611
          86     1.59687     1.59583 0.000184348
          87     1.59676     1.59584 0.000182538
          88     1.59689     1.59586 0.000180846
          89     1.59679     1.59587 0.000179121
          90     1.59664     1.59588 0.000177335
          91     1.59683     1.59589 0.000175698
          92      1.5966     1.59589 0.000173961
          93     1.59651      1.5959 0.000172218
          94     1.59672     1.59591 0.000170607
          95     1.59696     1.59592 0.000169169
          96     1.59665     1.59593 0.000167579
          97     1.59667     1.59594 0.000166025
          98     1.59685     1.59594 0.000164591
          99     1.59653     1.59595 0.000163035
         100     1.59686     1.59596 0.000161658
